run_id,timestamp,dataset_fingerprint,embedding,embedding_paradigm,embedding_rationale,classifier,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,roc_auc,roc_auc_std,best_params
20260327_073254,2026-03-27T07:33:31,d1fc34debe185c1b,distilbert-base-uncased,Transformer encoder,Baseline encoder ligero derivado de BERT. Se incluye para medir si un encoder generalista y barato basta para separar asuntos phishing frente a modelos contrastivos o instruction-tuned mucho mas costosos.,logistic_regression,0.8768556098882062,0.0319700504675734,0.9828121269633912,0.0043481559682683,0.9837491863744848,0.0041086915011887,0.9290832086343144,0.0447503683004248,0.8415124285520289,0.0438711227550681,0.9551246558769428,0.0179069573333817,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__solver"": ""lbfgs""}"
20260327_073254,2026-03-27T07:33:49,d1fc34debe185c1b,distilbert-base-uncased,Transformer encoder,Baseline encoder ligero derivado de BERT. Se incluye para medir si un encoder generalista y barato basta para separar asuntos phishing frente a modelos contrastivos o instruction-tuned mucho mas costosos.,svm_linear,0.8704637148613468,0.0527043253145707,0.982577049809106,0.0066196754147894,0.9842310810656496,0.0055587243755731,0.9593296042691624,0.0417205898089357,0.8177562096465563,0.0638461169883644,0.9730384985741268,0.0074614388393567,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}"
20260327_073254,2026-03-27T07:35:01,d1fc34debe185c1b,distilbert-base-uncased,Transformer encoder,Baseline encoder ligero derivado de BERT. Se incluye para medir si un encoder generalista y barato basta para separar asuntos phishing frente a modelos contrastivos o instruction-tuned mucho mas costosos.,svm_rbf,0.8472762707115502,0.0485274059304058,0.9799038216163736,0.0057536305527401,0.9823172054675634,0.0044194423586565,0.9678896459393576,0.0314373104592739,0.7867537313432835,0.0689984409289261,0.9868611347727864,0.0072161844232957,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale""}"
20260327_073254,2026-03-27T07:35:50,d1fc34debe185c1b,distilbert-base-uncased,Transformer encoder,Baseline encoder ligero derivado de BERT. Se incluye para medir si un encoder generalista y barato basta para separar asuntos phishing frente a modelos contrastivos o instruction-tuned mucho mas costosos.,random_forest,0.6808820376635932,0.0542434565321475,0.9618082402558074,0.0056022380836142,0.970843087323429,0.0031543288546915,0.9852928542751196,0.0015463705485837,0.61875,0.0414578098794424,0.9820037915262396,0.0114786854881825,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__n_estimators"": 200}"
20260327_082658,2026-03-27T08:27:44,d1fc34debe185c1b,sentence-transformers/all-mpnet-base-v2,Sentence-level (contrastive),Strong contrastive sentence embedding baseline with excellent general-purpose semantic performance on short texts.,logistic_regression,0.8579423375793013,0.0481255181844378,0.9804661771518102,0.0066899002656849,0.9818410204291376,0.0063235259623464,0.9259598874710436,0.063681803501675,0.8105136538152908,0.0411098381790804,0.9508687178252656,0.023264520740238,"{""C"": 0.1, ""class_weight"": ""balanced"", ""solver"": ""liblinear""}"
20260327_083002,2026-03-27T08:32:19,d1fc34debe185c1b,sentence-transformers/all-mpnet-base-v2,Sentence-level (contrastive),Strong contrastive sentence embedding baseline with excellent general-purpose semantic performance on short texts.,linear_svc,0.8410413792984851,0.051593059848974,0.9794384323026784,0.006135517970898,0.9823172054675634,0.0046701050432067,0.9909842878448674,0.002347330952276,0.76875,0.0612372435695794,0.9510559022505338,0.0288395125020138,"{""estimator__C"": 0.01}"
20260327_083002,2026-03-27T08:33:13,d1fc34debe185c1b,sentence-transformers/all-mpnet-base-v2,Sentence-level (contrastive),Strong contrastive sentence embedding baseline with excellent general-purpose semantic performance on short texts.,random_forest,0.5778999179146934,0.0626923665413825,0.9514904812381294,0.0060809055975418,0.965585639081431,0.0028380284828599,0.8827306849586766,0.2009145186114356,0.55,0.0375,0.9781507706504696,0.0174156509487911,"{""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 200}"
20260327_085954,2026-03-27T09:00:47,d1fc34debe185c1b,BAAI/bge-m3,Sentence-level (contrastive),Multi-granular and multilingual contrastive embedding chosen for its robustness on heterogeneous short-text inputs.,logistic_regression,0.8372863847641595,0.0638139674359761,0.978213935326868,0.0074847085265905,0.9804067556611208,0.0059152207393278,0.9375171093914644,0.0659095638985715,0.7917618020320235,0.0794192911217329,0.9575016511734132,0.0323778614387062,"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""lbfgs""}"
20260327_085954,2026-03-27T09:02:58,d1fc34debe185c1b,BAAI/bge-m3,Sentence-level (contrastive),Multi-granular and multilingual contrastive embedding chosen for its robustness on heterogeneous short-text inputs.,linear_svc,0.8025162070327451,0.076568056770365,0.9751492539137152,0.0088067452543004,0.9794509597926254,0.006324054262893,0.9895609040199168,0.0031638590242835,0.73125,0.0829156197588849,0.9434493938496106,0.0259555329782733,"{""estimator__C"": 0.001}"
20260327_085954,2026-03-27T09:04:14,d1fc34debe185c1b,BAAI/bge-m3,Sentence-level (contrastive),Multi-granular and multilingual contrastive embedding chosen for its robustness on heterogeneous short-text inputs.,random_forest,0.5259066681136237,0.0290991446818253,0.9464040179179014,0.0027039204951239,0.9631944365143712,0.0011272503069984,0.7815714015899452,0.2454915202112843,0.51875,0.0153093108923948,0.9737142451514142,0.0256897970635989,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 500}"
20260328_031334,2026-03-28T03:14:00,84439e9816e53920,distilbert-base-uncased,Transformer encoder,Lightweight encoder derived from BERT. Included as a low-cost baseline to test whether a generic Transformer encoder is sufficient for short phishing subjects.,logistic_regression,0.9282387857098062,0.007057237862891,0.9283334856056504,0.007065871112681,0.928332438821071,0.00708117108409,0.9283992661344812,0.0071094565482455,0.9283816683048144,0.0067420869295116,0.9792201189374676,0.00295607786778,"{""C"": 0.01, ""class_weight"": ""balanced"", ""solver"": ""lbfgs""}"
20260328_031334,2026-03-28T03:14:23,84439e9816e53920,distilbert-base-uncased,Transformer encoder,Lightweight encoder derived from BERT. Included as a low-cost baseline to test whether a generic Transformer encoder is sufficient for short phishing subjects.,linear_svc,0.9287077372620468,0.0134083544366082,0.9288091265069108,0.0134066421567155,0.9288154754427836,0.0134296642909951,0.9290296058248524,0.0137362799282799,0.9287416026229672,0.0131099850579153,0.9787549616882584,0.0045837974998343,"{""estimator__C"": 0.01}"
20260328_031334,2026-03-28T03:17:00,84439e9816e53920,distilbert-base-uncased,Transformer encoder,Lightweight encoder derived from BERT. Included as a low-cost baseline to test whether a generic Transformer encoder is sufficient for short phishing subjects.,svm_rbf,0.9478226395981888,0.0066280786909847,0.9479104003015928,0.0066225342689528,0.9479245412294024,0.0066319032039926,0.9481921865675208,0.0068292295593193,0.9476510111833104,0.0064408888473746,0.9867765014975554,0.0019608064434534,"{""C"": 10.0, ""class_weight"": null, ""gamma"": ""scale""}"
20260328_031334,2026-03-28T03:17:12,84439e9816e53920,distilbert-base-uncased,Transformer encoder,Lightweight encoder derived from BERT. Included as a low-cost baseline to test whether a generic Transformer encoder is sufficient for short phishing subjects.,sgd_classifier,0.9201133996700394,0.0105594191660471,0.9202148381622448,0.0105545676251021,0.9202201642096128,0.0105657758149122,0.9204634874275208,0.0106102088523224,0.9203203611837256,0.0104300656816272,0.95173119002008,0.0167142904986976,"{""alpha"": 0.0001, ""class_weight"": ""balanced"", ""penalty"": ""elasticnet""}"
