id,path,hash,subject,txt,authority,distraction,liking_similarity_deception,social_proof,commitment_integrity_reciprocation,class,label
8636,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/2726.txt,a0a34db87a32121c3a6ee22cb2991aca,Mother Jones Trump Selects a White Nationalist Leader as a Delega ,Trump Campaign Corresponded With Its White Nationalist Delegate Long After Database Error tionalist california delegate response email pledge database error On Tuesday Mother Jones broke the story that the Trump campaign had select ed William Johnson a prominent white nationalist leader domain.com politics 2016 05 donald trump white nationalist afp delegate cali fornia as a California delegate. The Trump campaign responded with the fol lowing statement Yesterday the Trump campaign submitted its list of California delegates to be certified by the Secretary of State of California. A database error led to the inclusion of a potential delegate that had been rejected and removed from the campaign s list in February 2016. Reached again by Mother Jones late Tuesday Johnson said he would resign as a delegate if asked to do so by the campaign. I accept Trump s explanatio n he said regarding the statement. I don t want to gainsay the Trump ca mpaign. If I am not removed from the database I will resign. Although the Trump campaign blamed a database error for including Johnson as a delegate the campaign corresponded with him personally just over 24 hours ago. Trump s California delegate coordinator Katie Lagomarsino sent Johnson a congratulatory email on Monday and when he asked for clarificat ion about how to send his completed pledge form back to the campaign she r eplied. Here is the email exchange with the personal contact information r edacted by Mother Jones Mother Jones also has a copy of the pledge form discussed in the email exch ange which Johnson signed and sent to the Trump campaign on Monday. You ca n see his pledge here D Johnson Agreement . From Sarge Matthew Sent Tuesday May 10 2015 4 04 PM To Comm D Subject Mother Jones Trump Selects a White Nationalist Leader as a Delega te in California h t Joel We have a fair amount on William Johnson and his Pro Trump American Nationa l Super PAC running robocalls in Iowa Trump Selects a White Nationalist Leader as a Delegate in California On Monday evening California s secretary of state published a list of dele gates chosen by the Trump campaign for the upcoming Republican presidential primary in the state. Trump s slate includes William Johnson one of the c ountry s most prominent white nationalists. Johnson applied to the Trump campaign to be a delegate. He was accepted on Monday. In order to be approved he had to sign this pledge sent to him by t he campaign I William Johnson endorse Donald J. Trump for the office of President of the United States. I pledge to cast ALL of my ballots to elec t Donald J. Trump on every round of balloting at the 2015 Republican Nation al Convention so that we can MAKE AMERICA GREAT AGAIN After he signed th e Trump campaign added his name to the list of 169 delegates it forwarded t o the secretary of state. Johnson leads the American Freedom Party a group that exists to represent the political interests of White Americans and aims to preserve the cust oms and heritage of the European American people. The AFP has never electe d a candidate of its own and possesses at most a few thousand members but it is arguably the most important white nationalist group in the country according to Mark Potok a senior fellow for the Southern Poverty Law Cent er SPLC which tracks iles individual william daniel johnson hate groups. Johnson got the news that he had been selected by Trump in a congratulatory email sent to him by the campaign s California Delegate Coordinator Katie Lagomarsino. I just hope to show how I can be mainstream and have these v iews Johnson tellsMother Jones. I can be a white nationalist and be a st rong supporter of Donald Trump and be a good example to everybody. Johnson says that in his application to be a GOP delegate for Trump he disc losed multiple details about his background and activism though he did not specifically use the term white nationalist. The Trump campaign and Lago marsino did not respond to requests for comment. Whether or not Johnson was vetted by the Trump campaign the GOP front runner would have a hard time claiming ignorance of Johnson s extreme views Johnson has gained notice du ring the presidential primary for funding pro Trump robocalls that convey a white nationalist message. The white race is dying out in America and Eur ope because we are afraid to be called racist Johnson says in one roboc all pushed out to residential landlines in Vermont and Minnesota. 85Donal d Trump is not racist but Donald Trump is not afraid. Don t vote for a Cub an. Vote for Donald Trump. Armed with cash from affluent donors and staffed by what the movement consi ders to be its top thinkers the AFP now dedicates most of its resources to supporting Trump 97and for good reason Johnson claims the AFP s pro Trump robocalls which have delivered Johnson s personal cellphone number to vot ers in seven states have helped the party find hundreds of new members. Trump is allowing us to talk about things we ve not been able to talk abou t Johnson says. So even if he is not elected he has achieved great thin gs. On numerous occasions Trump has failed to forcefully repudiate this sort o f support. After being endorsed by former Ku Klux Klan leader David Duke in August last year Trump simply told Bloomberg News I don t need his endo rsement I certainly wouldn t want his endorsement. I don t need anybody s endorsement. Asked in February about the robocalls which are funded by Johnson through a super PAC a Trump spokeswoman would only tell CNN that the candidate had disavowed all super PACs offering their support. The SPLC s Potok argues that Trump has legitimized and mainstreamed hate in ways we haven t seen since the days of George Wallace. Though nobody can say for sure how many people belong to America s largest hate groups the SPLC has found that the number of such groups grew by 14 percent in 2015 r eversing years of declines. Potok worries that Trump could fuel the spread of the AFP s ideas for years to come. Johnson is a corporate lawyer who grows persimmons and raises chickens at h is 67 acre ranch in a Los Angeles suburb. When I met him recently outside his law office in downtown LA s World Trade Center he was in high spirits . He suggested brightly that we walk downstairs to get lunch at a nearby Ko rean restaurant. As we sat next to a table of immaculately coiffed Korean A ir flight attendants I mentioned that some might find it surprising that a guy who wrote a book advocating the creation of an all white ethno state w as eating a plate of bulgogi beef with kimchee. Koreans don t have to make Korean food he said matter of factly. One of the best Chinese restauran ts I went to in the Bay Area is owned by a Mormon and cooked by a Mormon. R eally great Chinese food. Short graying and 61 years old Johnson favors pressed white shirts and b ookish black framed glasses. He grew up in predominantly white neighborhood s in Arizona and Oregon before moving to Japan in 1974 to study the languag e. It was there that locals engaged him in open discussions about differe nces between the races and he came to see America s European heritage as i ts biggest 97and most vulnerable 97asset. This trajectory is not uncommon Jared Taylor head of the white nationalist group American Renaissance al so speaks fluent Japanese and Aryan Nations founder Richard Butler became a white supremacist while immersed in the caste system in India. In 1985 Johnson published under a pseudonym Amendment to the Constitution Averti ng the Decline and Fall of America a book calling for the abolition of the 14th and 15th Amendments and the deportation of all nonwhites. He tried to sound a practical tone allowing for instance that African Americans sho uld receive a rich dowry to enable them to prosper in their homeland. The book was a hit on the talk show domain.com and Johnson suddenly found him self appearing on television alongside neo Nazi skinheads and Klansmen. By 1989 his notoriety and clean cut appeal convinced a group of white nationa lists in Wyoming to tap him to run for Dick Cheney s vacant congressional s eat. He garnered a flurry of press coverage when he earned enough signature s to qualify for the ballot around the same time the building housing his California law office was bombed. Johnson says the FBI accused him of deto nating it himself in a bid for more press. The bureau declined to comment. Twenty years later after unsuccessfully running for various other offices Johnson became the head of the American Freedom Party then known as Ameri can Third Position at the request of a group of Southern California skinh eads. Johnson s post was supposed to be temporary The skinheads thought I was too extreme to run the organization he explained. But they were the ones who ended up dropping out replaced by what has become a sort of white nationalist brain trust Party leaders now include a former Reagan adminis tration appointee and a professor emeritus at California State organization L ong Beach. After our Korean lunch Johnson rushed back up to his office to host the la test episode of For God and Country a Christian AM talk show currently bro adcast in California Louisiana and Texas. His Filipino American co host the Rev. Ronald Tan nodded approvingly as Johnson praised Trump on the air for busting up the concept of political correctness. The show allows Johnson to push a Trump centric version of white nationalis m to a potentially receptive audience 97up to a point. Several radio statio ns in Iowa recently canceled the program out of objection to its content. D uring a commercial break Johnson fidgeted. Are you going to quote any mor e Scriptures he asked Tan nervously. Has the station said that we re not Christian enough Back on the air Tan pivoted to 1 Samuel 16 comparing Trump to King David. In addition to promoting Trump on the radio and over the phone the AFP str eams a podcast called the Daily Trump Phenomenon Hour. It has set up a pol itical harassment hotline for Trump supporters who wish to consult with an attorney about being attacked or verbally abused by anti Trump protesters. Johnson has personally spent 30 000 the Trump promotions including 18 0 00 for the party. The robocalls the radio show and the harassment hotline were all things that Johnson mentioned in his application to become a Trump delegate. He s pecifically cited an anti Romney robocall commissioned in Utah this past Ma rch which begins in part My name is William Johnson. I am a farmer and a white nationalist. After wrapping up the radio show Johnson led me through his office where a brush painted screen hangs alongside shelves stacked with Japanese books and dictionaries. Many of his legal clients it turns out are foreigners w ho speak English as a second language. Yet Johnson says he sees no problem with Trump s isolationist foreign policy even if it hurts his business 97i deally he d like to give up his practice and serve as Trump s secretary of agriculture. We ended up in a mirrored conference room to meet with three AFP sympathize rs two middle aged women and a young man. They talked about how Trump had enabled a new kind of honest discourse how he wasn t a racist but a rac ialist and how he had left them feeling emancipated. Johnson also now f inds it easier to be himself For many many years when I would say these things other white people would call me names Oh you re a hatemonger you re a Nazi you re like Hitler he confessed. Now they come in and sa y Oh you re like Donald Trump. ,0,0,0,0,0,0,Legit
8866,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1584.txt,6a7531ad769f488f7f12443cf860616a,EXCERPTS Randi Weingarten Says Trump Has Created Bullying,To be automatically unsubscribed from this list please email user domain,0,0,0,0,0,0,Legit
8885,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1277.txt,66c767ef27bc5cef1e5f2c479d501287,Re Number,Alan had me enter it in NGP and sign the transmittals yesterday when it arr ived. So it was definitely there later on if not when Scott checked. On May 13 2016 at 5 50 PM Zach Allen ,0,0,0,0,0,0,Legit
7868,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1979.txt,b2cfc822426395230cae62c61e2d5ca5,3 boccioni, Alessandro ScarafileField Application Engineer organizationMilan Singapore Washington DCwww.domain.com email user domain 39 3386906194phone 39 0229060603 ,0,0,0,0,0,0,Legit
6719,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/2484.txt,3757b2fcde571aae005dd8aa808c7fad,NEW VIDEO GOP 92s Worst Week Ever There 92s no,NEW VIDEO GOP 92s Worst Week Ever There 92s no denying it 96 this week was the GOP 92s Worst Week ever. And we haven 92t even gotten to jokes at the White House Correspondents 92 Dinn er yet 85 The Republican Party s dangerous and divisive candidates and campaigns brou ght them to a record low ty favorability ratings 2016 4 with their favorability ratings 96 no dou bt compounded by desperate acts like Ted Cruz s choice of failed CEO Carly Fiorina as his running mate Dangerous Donald s embrace of endorsements fro m 93tough guys d trump endorsers should horrify you 94 Bobby Knight and Mike Tyson John Kasich s state of denial or having their own refer to them as Lucifer in t he flesh. WATCH cid image001.jpg 01D1A2D1.89FBA510 hDhOer4 feature 3Dyoutu.be ,0,0,0,0,0,0,Legit
9570,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/2228.txt,72dacb2b78fdf714fd27494d191914cb,Contribution DLC Democratic Lawyers Council Rosalyn Pugh 500.00 USD,CONTRIBUTION DATA Page DLC Democratic Lawyers Council Type One time Number of Tickets 1 Ticket Amount 500.00 Ticket Info TicketInfo Additional Contribution Amount 0 Total Amount 500.00 First Name Rosalyn Last Name Pugh Address 51 Laughton Street Upper Marlboro MD 20774 Phone 3017720006 Email user domain Employer The Pugh Law Group LLC Employer Address Occupation Attorney Payment Type MasterCard Account 5861 Transaction TransactionId User Id UserId Contribution Key IHQtQsDAcozXJgGfN7 CUSTOM FIELD DATA Section header Additional Information Fundraiser code optional Who encouraged you to make this contribution Guest name s if contributing for multiple tickets GENERAL INFORMATION domain.com Date Mon 25 Apr 2015 09 12 01 0400 Status Authorized Client IP Address 24.126.125.174 Client Browser Mozilla 5.0 Windows NT 10.0 WOW64 domain.com 537.36 KHTML like Gecko Chrome 49.0.2623.112 Safari 537.36 ,0,0,0,0,0,0,Legit
8898,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1374.txt,f9402472ce3dd2f4a44a1d72694b4b4f,Re Meeting Up,Sure swing by around 10 We are at 430 South Capitol ST SE Alex Hoffman will come get you. 20 Jordan Kaplan National Finance Director Organization 202 488 5002 o 312 339 0224 c user domain ,0,0,0,0,0,0,Legit
8905,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1428.txt,6aaac7e9f2b40613c082f9de8b0823b0,Mosko s Calls a o 12 15pm Thurs 10 16 OUT CALLS 10 16 14 12 02 PM Craig Jacobson Business 1 310 248 3101 ,Delete stephen matt From Mosko Steve Sent Thursday October 16 2015 12 15 PM To Mosko Steve Subject Mosko s Calls a o 12 15pm Thurs 10 16 OUT CALLS 10 16 14 12 02 PM Craig Jacobson Business 1 310 248 3101 OUT CALLS 10 16 14 12 02 PM Norman Lear Business 310 385 4010 IN CALLS 10 16 14 11 57 AM Mark Pedowitz Business 818 977 2544 pls call IN CALLS 10 16 14 10 15 AM Dhiren Patel Mobile 805 582 9169 checking in pls call IN CALLS 10 16 14 09 45 AM Matt Mosko Mobile 310 990 5114 Please call. IN CALLS 10 16 14 09 27 AM Stephen Prough Salem Partners Business 310 806 4203 Pls call re Bounce Media Lonnie Cooper suggested he call youIN CALLS 10 16 14 09 24 AM Bob Cohen Business 212 874 7150 pls call acquired a property he is excited about IN CALLS 10 15 14 03 30 PM Darryl Bocage Business 1 818 481 7489 pls call IN CALLS 10 15 14 12 37 PM Julie Bays Mobile 443 910 6955 pls call ,0,0,0,0,0,0,Legit
8801,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/1207.txt,d32a52880a4787f973a4494182a085ac,here are the Devine quotes,and check out what Merkley said nders burn it all down 6 05 17 National Politics Images Election Oregon News Guide fc91a.jpg Will Bernie Sanders burn it all down plum line wp 2016 05 18 will bernie sanders burn it all down domain.com Top Sanders adviser Tad Devine offers some cryptic comments about what s ne xt. ,0,0,0,0,0,0,Legit
7141,/content/gdrive/MyDrive/Colabs/02.-Proyectos/PhishDetector/Data/IWSPA_2.0/Full_Header/legit/3527.txt,e63bc90ca95b72285bed182bac8d7c97,draft Senate Judiciary Clock Is Ticking,SL Senate Judiciary Clock Is Ticking It s been 43 days of Republican obstruction since President Obama nominated Chief Judge Garland to the Supreme Court meaning that we have passed the average amount of time it takes the Senate Judiciary Committee to hold a hearing on a nominee to the Supreme Court. The Constitution is clear it s the President s job to nominate Supreme Court justices and it s the Senate s job to give the nominee a fair consideration with a hearing and vote. Not in our modern political system has it taken this long to fulfill a Supreme Court vacancy let alone refuse to give the nominee a fair hearing a vote. Republicans have chosen to play politics rather than do their jobs and fulfill the most basic constitutional requirements. Americans couldn t be clearer stop the obstruction and do your job. ,0,0,0,0,0,0,Legit
